name	name2	chrom	strand	exonCount	intronCount	intron_number	intron_start	intron_end	length
NR_015380.2	A1BG-AS1	chr19	+	4	3	1	58353044	58353378	334
NR_015380.2	A1BG-AS1	chr19	+	4	3	2	58353474	58353713	239
NR_015380.2	A1BG-AS1	chr19	+	4	3	3	58353857	58354368	511
NR_026971.1	A2M-AS1	chr12	+	3	2	1	9065228	9065825	597
NR_026971.1	A2M-AS1	chr12	+	3	2	2	9066060	9066155	95
NR_046715.1	A2ML1-AS1	chr12	-	2	1	1	8776384	8830661	54277
NR_040112.1	A2MP1	chr12	-	9	8	1	9228698	9229371	673
NR_040112.1	A2MP1	chr12	-	9	8	2	9229413	9230252	839
NR_040112.1	A2MP1	chr12	-	9	8	3	9230355	9231009	654
NR_040112.1	A2MP1	chr12	-	9	8	4	9231078	9231605	527
NR_040112.1	A2MP1	chr12	-	9	8	5	9231696	9232054	358
NR_040112.1	A2MP1	chr12	-	9	8	6	9232185	9232361	176
NR_040112.1	A2MP1	chr12	-	9	8	7	9232580	9233385	805
NR_040112.1	A2MP1	chr12	-	9	8	8	9233692	9234134	442
NR_146459.3	A4GALT	chr22	-	2	1	1	42718586	42720796	2210
NR_037584.2	AA06	chr17	-	3	2	1	33530198	33533449	3251
NR_037584.2	AA06	chr17	-	3	2	2	33533513	33533604	91
NR_183032.1	AACS	chr12	+	17	16	1	125065717	125073875	8158
NR_183032.1	AACS	chr12	+	17	16	2	125073979	125076490	2511
NR_183032.1	AACS	chr12	+	17	16	3	125076611	125086329	9718
NR_183032.1	AACS	chr12	+	17	16	4	125086443	125091425	4982
NR_183032.1	AACS	chr12	+	17	16	5	125091523	125102678	11155
NR_183032.1	AACS	chr12	+	17	16	6	125102793	125102999	206
NR_183032.1	AACS	chr12	+	17	16	7	125103081	125107120	4039
NR_183032.1	AACS	chr12	+	17	16	8	125107268	125114476	7208
NR_183032.1	AACS	chr12	+	17	16	9	125114557	125124704	10147
NR_183032.1	AACS	chr12	+	17	16	10	125124769	125124901	132
NR_183032.1	AACS	chr12	+	17	16	11	125125024	125128160	3136
NR_183032.1	AACS	chr12	+	17	16	12	125128274	125129334	1060
NR_183032.1	AACS	chr12	+	17	16	13	125129460	125134002	4542
NR_183032.1	AACS	chr12	+	17	16	14	125134072	125134793	721
NR_183032.1	AACS	chr12	+	17	16	15	125134852	125136661	1809
NR_183032.1	AACS	chr12	+	17	16	16	125136864	125142091	5227
NR_135095.1	AACSP1	chr5	-	11	10	1	178766175	178767129	954
NR_135095.1	AACSP1	chr5	-	11	10	2	178767335	178768469	1134
NR_135095.1	AACSP1	chr5	-	11	10	3	178768667	178772428	3761
NR_135095.1	AACSP1	chr5	-	11	10	4	178772631	178774497	1866
NR_135095.1	AACSP1	chr5	-	11	10	5	178774548	178775266	718
NR_135095.1	AACSP1	chr5	-	11	10	6	178775336	178776141	805
NR_135095.1	AACSP1	chr5	-	11	10	7	178776276	178797530	21254
NR_135095.1	AACSP1	chr5	-	11	10	8	178797611	178811173	13562
NR_135095.1	AACSP1	chr5	-	11	10	9	178811286	178814897	3611
NR_135095.1	AACSP1	chr5	-	11	10	10	178815008	178818093	3085
NR_110202.1	AADACL2-AS1	chr3	-	4	3	1	151751511	151755071	3560
NR_110202.1	AADACL2-AS1	chr3	-	4	3	2	151755131	151774605	19474
NR_110202.1	AADACL2-AS1	chr3	-	4	3	3	151774665	151927856	153191
NR_111984.2	AADACL3	chr1	+	3	2	1	12716344	12720882	4538
NR_111984.2	AADACL3	chr1	+	3	2	2	12720946	12725221	4275
NR_026915.1	AADACP1	chr3	+	3	2	1	151770611	151775694	5083
NR_026915.1	AADACP1	chr3	+	3	2	2	151775764	151783831	8067
NR_171643.1	AAMDC	chr11	+	6	5	1	77821241	77842478	21237
NR_171643.1	AAMDC	chr11	+	6	5	2	77842628	77869721	27093
NR_171643.1	AAMDC	chr11	+	6	5	3	77869817	77876949	7132
NR_171643.1	AAMDC	chr11	+	6	5	4	77877049	77884779	7730
NR_171643.1	AAMDC	chr11	+	6	5	5	77884916	77900570	15654
NR_110548.2	AANAT	chr17	+	4	3	1	76467727	76468671	944
NR_110548.2	AANAT	chr17	+	4	3	2	76468909	76469116	207
NR_110548.2	AANAT	chr17	+	4	3	3	76469327	76469664	337
NR_026961.1	AATBC	chr21	-	2	1	1	43806588	43808800	2212
NR_002451.2	ABCA11P	chr4	-	3	2	1	426973	472574	45601
NR_002451.2	ABCA11P	chr4	-	3	2	2	472701	473980	1279
NR_103740.2	ABCA12	chr2	-	55	54	1	214932741	214934077	1336
NR_103740.2	ABCA12	chr2	-	55	54	2	214934215	214937509	3294
NR_103740.2	ABCA12	chr2	-	55	54	3	214937615	214942924	5309
NR_103740.2	ABCA12	chr2	-	55	54	4	214943017	214945000	1983
NR_103740.2	ABCA12	chr2	-	55	54	5	214945104	214947421	2317
NR_103740.2	ABCA12	chr2	-	55	54	6	214947556	214948595	1039
NR_103740.2	ABCA12	chr2	-	55	54	7	214948737	214949039	302
NR_103740.2	ABCA12	chr2	-	55	54	8	214949149	214950878	1729
NR_103740.2	ABCA12	chr2	-	55	54	9	214951083	214953853	2770
NR_103740.2	ABCA12	chr2	-	55	54	10	214954107	214955201	1094
NR_103740.2	ABCA12	chr2	-	55	54	11	214955361	214956662	1301
NR_103740.2	ABCA12	chr2	-	55	54	12	214956778	214958276	1498
NR_103740.2	ABCA12	chr2	-	55	54	13	214958454	214959023	569
NR_103740.2	ABCA12	chr2	-	55	54	14	214959078	214966847	7769
NR_103740.2	ABCA12	chr2	-	55	54	15	214966953	214968719	1766
NR_103740.2	ABCA12	chr2	-	55	54	16	214968807	214970272	1465
NR_103740.2	ABCA12	chr2	-	55	54	17	214970400	214973948	3548
NR_103740.2	ABCA12	chr2	-	55	54	18	214974042	214974777	735
NR_103740.2	ABCA12	chr2	-	55	54	19	214974864	214975784	920
NR_103740.2	ABCA12	chr2	-	55	54	20	214976037	214978315	2278
NR_103740.2	ABCA12	chr2	-	55	54	21	214978466	214978803	337
NR_103740.2	ABCA12	chr2	-	55	54	22	214979040	214980482	1442
NR_103740.2	ABCA12	chr2	-	55	54	23	214980643	214982186	1543
NR_103740.2	ABCA12	chr2	-	55	54	24	214982383	214983646	1263
NR_103740.2	ABCA12	chr2	-	55	54	25	214983865	214986541	2676
